from_onet_code,to_onet_code,transition_type,is_primary_path,is_cross_family,min_years_experience_before_transition,training_cost_usd,training_duration_years,can_work_during_training,notes
31-1131.00,29-1141.00,progression,true,false,0,25000,2,true,CNA → RN via ADN. Most common path. Can work as CNA during school.
31-1131.00,29-2061.00,progression,false,false,0,15000,1,true,CNA → LPN. Optional intermediate. 1-year diploma program.
29-2061.00,29-1141.00,progression,true,false,1,20000,1.5,true,LPN → RN via bridge program. 1yr experience typical before bridge.
29-1141.00,29-1141.01,specialization,false,false,0,2000,0.25,true,RN → Acute Care. On-the-job orientation + PCCN cert. Minimal cost.
29-1141.00,29-1141.03,specialization,false,false,0,2000,0.25,true,RN → Critical Care. On-the-job orientation + CCRN cert. Minimal cost.
29-1141.00,29-1171.00,progression,true,false,1,45000,2,true,RN → NP. Master's (MSN). Most programs allow part-time while working.
29-1141.00,29-1161.00,progression,true,false,1,45000,2,true,RN → Nurse Midwife. Master's (MSN). Similar cost and duration to NP.
29-1141.00,29-1141.04,progression,true,false,1,45000,2,true,RN → CNS. Master's (MSN). Similar cost and duration to NP.
29-1141.00,29-1141.02,progression,true,false,1,45000,2,true,RN → Psych NP. Master's (MSN). Mental health specialty track.
29-1141.00,29-1151.00,progression,false,false,2,80000,3,false,RN → CRNA. Doctoral (DNAP). Requires 2yr general RN exp. Full-time program — cannot work clinically.
29-1141.03,29-1151.00,progression,true,false,1,80000,3,false,Critical Care RN → CRNA. 1yr ICU exp satisfies prereq. Full-time doctoral program.
29-1171.00,25-1072.00,lateral,true,false,3,20000,2,true,NP → Nursing Instructor. Most common teaching entry. Master's already held; may need education coursework.
29-1141.04,25-1072.00,lateral,false,false,3,20000,2,true,CNS → Nursing Instructor. Less common but valid. Similar additional education requirements.
29-1141.00,25-1072.00,lateral,false,false,3,35000,2,true,RN → Nursing Instructor. Needs Master's if not already held. Rare without advanced practice credential.
33-3051.00,33-3021.02,specialization,false,false,0,500,0.25,true,Patrol → Records/ID Officer. On-the-job training + forensic coursework. Lower pay ceiling.
33-3051.00,33-3021.00,progression,true,false,3,2000,0.5,true,Patrol → Detective. Internal promotion. Written exam + interview. No degree required typically.
33-3051.00,33-1012.00,progression,true,false,5,2000,0.5,true,Patrol → Supervisor. Internal promotion via sergeant exam. Parallel track to detective.
33-3021.00,33-1012.00,progression,false,false,3,2000,0.25,true,Detective → Supervisor. Less common path; most supervisors come from patrol.
33-3051.00,33-3052.00,lateral,false,true,2,3000,0.5,true,Patrol → Transit Police. Cross-family lateral. Skills transfer but different agency and academy.
33-3051.00,33-9021.00,lateral,false,false,5,1000,0.25,true,Patrol → Private Investigator. Career exit. PI license required (~40hr course). Low cost but lower pay.
33-3021.00,33-9021.00,lateral,true,false,5,1000,0.25,true,Detective → Private Investigator. Most common PI entry. Investigation skills transfer directly.
33-3051.00,21-1092.00,lateral,false,true,0,30000,4,true,Patrol → Probation Officer. Cross-family lateral. Requires bachelor's if not already held. Different agency — courts/corrections system.
53-2022.00,53-2021.00,progression,true,false,1,15000,2,false,Airfield Ops → ATC. FAA Academy application. Ground ops experience valued. Competitive — max hire age 31.
53-2022.00,53-6051.01,progression,false,false,2,5000,0.5,true,Airfield Ops → Aviation Inspector. FAA Safety Inspector designation. Inspection/compliance skills carry over directly.
53-2021.00,53-6051.01,lateral,false,false,5,3000,0.5,true,ATC → Aviation Inspector. Natural post-retirement path — mandatory ATC retirement at 56 has no equivalent in inspection. Operational expertise in ATC procedures is directly applicable to ATC facility inspection. Pay step-down (~$144k → ~$85k).
53-6032.00,53-2022.00,progression,true,false,1,5000,0.5,true,Ramp Agent → Airfield Ops. On-the-job airfield experience + associate's degree (or FAA coursework). Most Airfield Ops specialists start in ground-side aviation roles.
15-1251.00,15-1254.00,progression,true,false,0,2000,0.5,true,Computer Programmer → Web Developer. Build a web-focused portfolio and specialize in frontend/backend frameworks. Most devs land here within their first 1-2 years.
15-1254.00,15-1255.00,specialization,false,false,0,1500,0.25,true,Web Developer → Web/Interface Designer. Learn Figma and UX research methods. Some developers pick this up on the job; others do a short design bootcamp.
15-1254.00,15-1299.01,specialization,false,false,1,2000,0.5,true,Web Developer → Web Administrator. Deepen server/cloud skills — Linux administration, deployment pipelines, access management. AWS/GCP certificates help.
15-1254.00,15-1253.00,specialization,false,false,0,1000,0.25,true,Web Developer → SQA Analyst. Learn automated testing frameworks (Playwright, Cypress, Jest) and CI/CD tooling. Often a natural extension of existing dev work.
15-1254.00,15-1252.00,progression,true,false,1,3000,1,true,Web Developer → Software Developer. Canonical path. Broaden beyond web to backend systems, APIs, and general engineering. Open source contributions and system design practice are the main steps.
15-1252.00,15-1299.08,progression,true,false,3,5000,1,true,Software Developer → Systems Engineer/Architect. Deep systems design, cloud architecture, distributed systems. AWS Solutions Architect or GCP Professional Cloud Architect certification is standard.
15-1252.00,15-1299.09,lateral,true,false,3,3000,0.5,true,Software Developer → IT Project Manager. Transition from IC to people management. PMP or PMI-ACP certification common. Many take this path after 5+ years as senior engineers.
15-1252.00,15-2051.00,lateral,true,false,2,5000,1,true,Software Developer → Data Scientist. Requires learning statistical modeling, machine learning, and data pipeline tooling (Python, pandas, scikit-learn). Many take Coursera ML Specialization or a master's in data science.
15-1252.00,15-1212.00,lateral,true,false,2,4000,1,true,Software Developer → Information Security Analyst. Requires security-specific retraining. CompTIA Security+ is the entry cert; CEH or OSCP for more offensive work. Developer background is a significant advantage.
15-2051.00,15-1221.00,progression,false,false,3,60000,5,false,Data Scientist → CS Research Scientist. Doctoral program (PhD in CS, Statistics, or ML). Full-time. Leads to industry research labs (Google, Meta, OpenAI) or academic faculty.
27-1024.00,27-1021.00,lateral,false,false,3,5000,1,true,Graphic Designer → Industrial Designer. Add 3D CAD skills (SolidWorks, Rhino) and materials knowledge. Often requires supplemental coursework or a second degree. Portfolio shift from 2D to physical product work.
27-1024.00,27-1022.00,lateral,false,false,3,5000,1,true,Graphic Designer → Fashion Designer. Pivot into apparel. Textile and pattern knowledge needed. Portfolio-driven. FIT or Parsons short programs common for career changers.
27-1024.00,27-1011.00,progression,true,false,5,2000,0.5,true,Graphic Designer → Art Director. Primary advancement path. Build leadership of visual projects — campaigns, publications, brand systems. Senior designer → AD promotion is standard in agencies and in-house teams.
27-1024.00,27-1025.00,lateral,false,false,3,8000,1.5,true,Graphic Designer → Interior Designer. Significant pivot. Interior design programs (2–4yr) required. NCIDQ exam for full licensure. Spatial thinking transfers; technical standards and materials knowledge must be learned.
27-1014.00,27-1011.00,progression,true,false,5,2000,0.5,true,Animator/VFX Artist → Art Director. Common in film, gaming, and advertising. Build creative direction of motion and visual language. Senior animator → AD track typical at studios.
27-1014.00,27-1027.00,lateral,false,false,4,3000,0.5,true,Animator → Set/Exhibit Designer. Spatial visualization skills transfer. Film/theater adjacent path. Portfolio of environment and production design work needed.
27-1026.00,27-1024.00,progression,true,false,2,15000,2,true,Merchandise Displayer → Graphic Designer. Requires formal design education (AA or BA). Portfolio-building during school is essential. Community college + transfer path is accessible.
27-1026.00,27-1025.00,progression,false,false,3,30000,3,true,Merchandise Displayer → Interior Designer. Spatial display experience is relevant but formal interior design program required. Longer path — 3yr program + NCIDQ.
27-1021.00,27-1011.00,progression,true,false,4,2000,0.5,true,Industrial Designer → Art Director. Creative direction of product lines or design systems. More common in product companies than agencies. Portfolio of shipped products essential.
27-1022.00,27-1011.00,progression,false,false,5,2000,0.5,true,Fashion Designer → Art Director. Creative direction at fashion brands or magazines. Less common than graphic → AD path but established in luxury/editorial contexts.
27-1013.00,27-1011.00,lateral,false,false,5,2000,0.5,true,Fine Artist → Art Director. Requires adding commercial/client-facing portfolio. Illustration and concept art are the most direct bridges. Agency or editorial experience needed.
27-1025.00,27-1011.00,lateral,false,false,6,2000,0.5,true,Interior Designer → Art Director. Lateral into broader creative leadership. More common at architecture firms, hospitality brands, or retail environments than traditional ad agencies.
27-1027.00,27-1011.00,lateral,false,false,5,2000,0.5,true,Set/Exhibit Designer → Art Director. Creative direction of environments and experiential spaces. Common in theater, film production companies, or museum organizations.
13-1161.00,13-1161.01,progression,true,false,2,1500,0.5,true,Market Research Analyst → Search Marketing Strategist. Google Ads + Analytics certifications (~$200 each). Build paid and organic campaign experience. Natural step into growth marketing roles.
13-1161.00,27-3031.00,lateral,false,false,2,2000,0.5,true,Market Research Analyst → PR Specialist. Pivot into communications track. Writing portfolio + media relationship skills needed. Common in agency environments.
13-1161.00,11-2021.00,progression,false,false,7,8000,2,true,Market Research Analyst → Marketing Manager. Long path without specialization. MBA or deep digital expertise accelerates. Most go through search marketing or ad management first.
41-3011.00,13-1161.01,lateral,true,true,2,1500,0.5,true,Advertising Sales Agent → Search Marketing Strategist. Cross-family pivot from sales to marketing cluster. Google Ads cert + platform experience (Meta, LinkedIn). Revenue background is valued in performance marketing.
41-3011.00,11-2011.00,progression,false,true,5,3000,0.5,true,Advertising Sales Agent → Ad & Promotions Manager. Cross-family to marketing cluster. Internal promotion within media or agency. Campaign oversight replaces direct selling.
41-3011.00,41-4012.00,lateral,false,false,2,0,0,true,Advertising Sales Agent → Wholesale Sales Rep. Within-cluster lateral. Media ad sales skills transfer to B2B product sales. Account management experience is directly applicable.
13-1161.01,11-2021.00,progression,true,false,5,5000,1,true,Search Marketing Strategist → Marketing Manager. Core advancement path. Add brand strategy, team leadership, and cross-channel ownership. MBA optional but common at larger companies.
13-1161.01,11-2011.00,lateral,false,false,4,3000,0.5,true,Search Marketing Strategist → Advertising & Promotions Manager. Lateral into broader campaign management. Adds traditional/offline media oversight to digital expertise.
27-3031.00,11-2021.00,progression,false,false,6,5000,1,true,PR Specialist → Marketing Manager. Brand and comms expertise is valuable at director level. MBA or VP of Comms track more common than direct Marketing Manager promotion in most orgs.
27-3031.00,11-2011.00,progression,true,false,5,3000,0.5,true,PR Specialist → Advertising & Promotions Manager. Common agency-side path. Brand voice and campaign coordination skills transfer.
27-3043.00,27-3041.00,progression,true,false,3,1000,0.5,true,Writer → Editor. Internal promotion or job switch. Portfolio of strong published work is the main signal. No formal credential required.
27-3041.00,11-2021.00,lateral,false,false,6,5000,1,true,Editor → Marketing Manager. Content strategy leadership path. Common at media companies and content-heavy SaaS firms. Requires adding demand gen and analytics skills.
11-2011.00,11-2021.00,progression,true,false,3,5000,1,true,Ad & Promotions Manager → Marketing Manager. Natural advancement. Broadens from campaign execution to full marketing strategy ownership.
43-3031.00,13-2011.00,progression,true,false,2,20000,2,true,Bookkeeping Clerk → Accountant. Associate's or bachelor's in accounting. Community college AA is common stepping stone. CPA prep typically begins during final year of bachelor's.
43-3031.00,13-2082.00,lateral,false,false,0,1000,0.25,true,Bookkeeping Clerk → Tax Preparer. Lateral entry into tax specialization. IRS PTIN required (~$20 fee). H&R Block or similar employer training is a common path. Seasonal work initially.
13-2082.00,13-2011.00,progression,true,false,2,15000,2,true,Tax Preparer → Accountant. Enrolled Agent (EA) license is intermediate step (~$1.5k, 3-part IRS exam). Bachelor's in accounting typically required to advance to full CPA. Tax background accelerates public accounting entry.
13-2011.00,13-2072.00,lateral,true,false,3,2000,0.5,true,Accountant → Loan Officer. Relationship-focused pivot. NMLS MLO license required for mortgage (~20hr course + exam). Financial analysis background directly valued by banks and credit unions.
13-2011.00,13-2052.00,lateral,false,false,3,5000,1,true,Accountant → Personal Financial Advisor. CFP certification (~$3–5k coursework + exam, 6000hr experience req). Series 65 or 66 for investment advisory. Tax knowledge is a strong differentiator with HNW clients.
13-2011.00,13-2051.00,lateral,false,false,3,8000,1.5,true,Accountant → Financial Analyst. CFA Level 1 is the signal (~300hr self-study, $1k exam). Common in public accounting → investment banking/corporate finance transitions. Financial modeling proficiency is key.
13-2011.00,13-2061.00,lateral,false,false,5,2000,0.25,true,Accountant → Financial Examiner. CPA holders actively recruited by OCC, FDIC, SEC. Government examination roles offer stability and use audit background directly.
13-2011.00,11-3031.00,progression,true,false,8,5000,1,true,Accountant → Financial Manager. Internal promotion track — controller → CFO ladder. MBA accelerates but not required. CPA is effectively the prerequisite.
13-2072.00,13-2041.00,lateral,false,false,2,1000,0.25,true,Loan Officer → Credit Analyst. Underwriting focus shift. Internal transition common at banks. Credit analyst role involves more modeling and less client interface.
13-2072.00,13-2052.00,lateral,true,false,3,5000,1,true,Loan Officer → Financial Advisor. Client relationship skills transfer directly. CFP or Series 65/66 required. Wealth management firms actively recruit experienced lending officers.
13-2052.00,11-3031.00,progression,false,false,8,5000,1,true,Financial Advisor → Financial Manager. Less common path — advisors usually stay individual contributor. Branch manager or regional director roles are the in-track equivalent.
13-2054.00,11-3031.00,progression,false,false,7,5000,1,true,Financial Risk Specialist → Financial Manager. Chief Risk Officer (CRO) track. FRM + MBA typical for executive risk leadership.
13-2099.04,13-2061.00,lateral,true,false,3,2000,0.25,true,Fraud Examiner → Financial Examiner. Investigative and regulatory knowledge overlaps significantly. CFE + accounting background makes candidates attractive to government examiners.
13-1161.00,13-1111.00,progression,true,false,3,5000,1,true,Market Research Analyst → Management Analyst. Build cross-functional business acumen and presentation skills. MBA accelerates but not required. Strategy consulting firms are a common bridge.
13-2031.00,13-1111.00,progression,true,false,3,5000,1,true,Budget Analyst → Management Analyst. Natural progression — budget analysts already do process and cost analysis. MBA or internal promotion common. Government budget analysts often pivot to consulting.
13-2031.00,13-2061.00,progression,false,false,5,3000,0.5,true,Budget Analyst → Financial Examiner. Government track. CFE or CPA helpful. Budget background valued for understanding financial controls. Federal (OCC, FDIC) or state examiner roles.
13-1111.00,13-2051.00,lateral,true,false,3,8000,1.5,true,Management Analyst → Financial/Investment Analyst. Requires financial modeling and valuation skills. CFA Level 1 is the standard entry signal (~300hr self-study, $1k exam fee). Often pursued by analysts in financial services firms.
13-1111.00,13-1041.00,lateral,false,false,3,3000,0.5,true,Management Analyst → Compliance Officer. Lateral into regulatory risk. Process improvement background is valued. Industry-specific compliance cert typical.
13-2051.00,13-2061.00,progression,true,false,4,2000,0.25,true,Financial Analyst → Financial Examiner. Senior regulatory track. CPA or CFA holders often recruited directly by regulators (OCC, SEC, FDIC). Examiners inspect institutions analysts once worked within.
13-1041.00,13-2061.00,progression,false,false,5,2000,0.25,true,Compliance Officer → Financial Examiner. Regulatory expertise transfers directly. More common for banking/finance compliance officers than other industries. Government examiner roles.
41-2031.00,41-4012.00,progression,true,false,2,500,0.25,true,Retail → B2B Sales Rep. Build a track record of quota attainment + learn CRM tools (Salesforce). Move into inside or outside B2B sales. Minimal formal training — mostly portfolio/referral-driven.
41-2031.00,41-3021.00,lateral,false,false,0,1000,0.25,true,Retail → Insurance Agent. Requires state insurance license (~40hr pre-licensing course + exam). Career switch rather than promotion. Lower volume of transactions but higher per-sale value.
41-3021.00,41-4012.00,lateral,false,false,2,500,0.1,true,Insurance Agent → B2B Sales Rep. Sales skills transfer; CRM and outbound prospecting overlap. Some agents pivot when seeking a salaried base + commission structure rather than pure commission.
41-3021.00,11-2022.00,progression,true,false,5,2000,0.5,true,Insurance Agent → Sales Manager. Common within insurance agencies and brokerages. Manage a team of agents — territory assignment, pipeline oversight, recruiting.
41-4012.00,11-2022.00,progression,true,false,5,2000,0.5,true,B2B Sales Rep → Sales Manager. Primary management path. Internal promotion based on quota attainment + leadership signals. PMP or sales leadership training optional but common.
41-4012.00,41-9022.00,lateral,false,false,2,2000,0.25,true,B2B Sales Rep → Real Estate Agent. Career switch into real estate. State salesperson license required (75–150hr course). Commission-only structure is the main transition risk.
41-4012.00,41-9031.00,lateral,false,false,3,5000,1,true,B2B Sales Rep → Sales Engineer. Requires domain expertise in a technical field (software, hardware, industrial). Most Sales Engineers enter laterally from an engineering background; reps with strong technical products sometimes cross over with supplemental coursework.
41-9022.00,41-9021.00,progression,true,false,2,2000,0.25,true,Real Estate Agent → Broker. State broker license requires 2yr experience as agent + broker pre-licensing exam (~60hr). Allows independent practice and managing other agents.
41-9021.00,11-2022.00,lateral,false,false,5,2000,0.5,true,Real Estate Broker → Sales Manager. Uncommon but valid for brokers who prefer managing a corporate sales team over running their own office. Brokerage office management is essentially the in-cluster equivalent.
41-9031.00,11-2022.00,progression,true,false,5,2000,0.5,true,Sales Engineer → Sales Manager. High-value path — technical sales managers command premium salaries. Build leadership and forecasting skills. No formal certification required; internal promotion typical.
43-3031.00,13-2011.00,progression,true,false,3,40000,4,true,Bookkeeping Clerk → Accountant/Auditor. Core progression in the cluster. Bachelor's in accounting required; most clerks complete part-time while working. CPA exam unlocks advancement.
43-3031.00,13-2082.00,lateral,false,false,0,500,0.25,true,Bookkeeping Clerk → Tax Preparer. Lateral into seasonal/year-round tax prep. IRS AFSP (~18hr) or registered tax return preparer credential. Low barrier; common supplemental income path.
13-2082.00,13-2011.00,progression,false,false,2,40000,4,true,Tax Preparer → Accountant/Auditor. Bachelor's required. Tax prep experience is valued but does not substitute for the degree. CPA exam path common.
13-2011.00,13-2072.00,lateral,false,false,2,1000,0.25,true,Accountant → Loan Officer. Pivot from financial reporting to consumer/commercial lending. NMLS license (~20hr pre-licensing + exam) required for mortgage. Credit underwriting overlaps with accounting judgment.
13-2011.00,13-2041.00,progression,true,false,1,2000,0.25,true,Accountant → Credit Analyst. Natural step into bank or corporate credit risk. Financial statement analysis transfers directly. CFA Level I optional but common.
13-2011.00,13-2052.00,lateral,false,false,2,3000,1,true,Accountant → Personal Financial Advisor. Pivot to client-facing wealth management. CFP certification (~1yr coursework + exam) + Series 65/66 required. Can transition while studying.
13-2011.00,13-2054.00,progression,true,false,3,5000,1,true,Accountant → Financial Risk Specialist. Progression into quant/risk analytics. FRM certification (2-part exam) common. Bank enterprise risk or corporate treasury are typical employers.
13-2011.00,13-2053.00,lateral,false,false,2,2000,0.5,true,Accountant → Insurance Underwriter. Pivot to risk assessment within insurance carriers. AU or CPCU designations earned on the job. Declining demand (AI automation) is the main caveat.
13-2011.00,13-2099.04,lateral,false,false,3,1500,0.5,true,Accountant → Fraud Examiner. Pivot to forensic/investigative work. CFE credential (ACFE exam) is standard. Audit background is the most direct feeder into fraud examination.
13-2041.00,13-2054.00,progression,true,false,2,3000,1,true,Credit Analyst → Financial Risk Specialist. Deepening into enterprise/market risk beyond credit. FRM credential valued. Quant skills (Python, SQL) increasingly expected.
13-2041.00,13-2072.00,lateral,false,false,1,500,0.25,true,Credit Analyst → Loan Officer. Pivot from underwriting the deal to sourcing it. NMLS license required for mortgage. Commercial lending is a common destination.
13-2071.00,13-2052.00,progression,false,false,3,3000,1,true,Credit Counselor → Personal Financial Advisor. Progression from nonprofit debt counseling into fee-based or commission financial advising. CFP + Series 65/66 required.
13-2011.00,13-2061.00,progression,true,false,5,1500,0.5,true,Accountant → Financial Examiner. Senior regulatory track. Federal/state bank examiner roles (FDIC, OCC, state agencies) recruit experienced auditors. Agency-specific training on entry.
13-2054.00,13-2061.00,progression,true,false,5,1000,0.25,true,Financial Risk Specialist → Financial Examiner. Common senior track. Risk background is directly applicable to bank examination and supervisory work.
13-2099.04,13-2061.00,lateral,false,false,3,1000,0.25,true,Fraud Examiner → Financial Examiner. Lateral into regulatory examination. Investigative skills transfer. Agency-specific training on entry.
13-2011.00,11-3031.00,progression,true,false,7,5000,2,true,Accountant → Financial Manager. Leadership destination. MBA optional but common; many advance via internal promotion (Controller → CFO track). CPA strongly preferred.
13-2061.00,11-3031.00,progression,false,false,5,2000,0.5,true,Financial Examiner → Financial Manager. Less common but valid — regulatory experience is valued in compliance-heavy industries (banking, insurance).
13-2054.00,11-3031.00,progression,false,false,7,2000,0.5,true,Financial Risk Specialist → Financial Manager. Internal promotion into treasury/CFO track within banks and large corporates.
15-1212.00,15-1299.05,progression,true,false,3,500,0.5,true,Security Analyst → Security Engineer. CompTIA CASP+ or CISSP is the typical signal. Deepens from monitoring/analysis into system design and architecture ownership.
15-1299.05,15-1221.00,progression,false,false,7,50000,4,true,Security Engineer → Computer Science Researcher. Uncommon; requires PhD. Research focus on security systems, cryptography, or formal verification.
15-1299.05,15-1299.08,progression,false,false,6,3000,1,true,Security Engineer → Systems Architect. Lateral step-up into broader infrastructure design. AWS/Azure Solutions Architect cert is the typical credential.
