onet_code,job_title,notes
11-2021.00,Social Media Manager,Manages brand social presence and strategy; closer to Marketing Manager scope than Marketing Specialist
13-1161.00,Content Strategist,Content planning and editorial strategy role mapped to Marketing Specialists
13-1161.00,Content Marketer,Content creation and distribution for marketing pipelines
13-1161.01,SEO Specialist,Search optimization role; 13-1161.01 (Search Marketing Strategists) is closest code
13-1161.01,Paid Media Specialist,PPC/SEM advertising management; mapped to Search Marketing Strategists
13-1161.00,Email Marketing Manager,Email campaign strategy and execution; no dedicated O*NET code
13-1161.00,Brand Strategist,Brand positioning and identity work; no dedicated O*NET code
15-1255.00,Product Designer,End-to-end product design role (research + UI); common title for Web/Digital Interface Designers
27-1024.00,Motion Designer,Animation and motion graphics; lumped into Graphic Designers in O*NET
27-4032.00,Video Editor,Post-production editing; O*NET code exists (27-4032) but role is broader than listed
27-3043.00,Copywriter,Advertising and marketing copy; mapped to Writers and Authors
27-3043.00,Content Writer,General content creation for web/marketing; no dedicated O*NET code
11-2021.00,Growth Marketer,Data-driven acquisition and retention marketing; mapped to Marketing Managers
11-2021.00,Demand Generation Manager,B2B pipeline/lead generation marketing; no dedicated O*NET code
15-1251.00,Junior Software Developer,"Frequently used in job postings as a broader term for programming work, emphasizing software creation over traditional 'programmer' terminology, though O*NET uses more specific titles."
15-1251.00,Full Stack Developer,"Commonly searched and posted for roles requiring both frontend and backend programming skills, a specialization not explicitly named in O*NET's sample titles despite being widespread."
15-1251.00,Backend Developer,"Regularly appears in job boards for server-side and database programming work, distinguishing backend-focused roles from the more general programmer titles in O*NET."
15-1251.00,Frontend Developer,"Frequently posted for client-side and UI programming roles, representing a common specialization within computer programming that O*NET's titles don't explicitly separate."
15-1254.00,Frontend Developer,"Commonly used in job postings to specify web developers focused on client-side technologies (HTML, CSS, JavaScript), distinct from full-stack or backend roles."
15-1254.00,Full Stack Developer,"Frequently searched and posted role describing web developers who work across both frontend and backend systems, reflecting modern development practices not captured by generic 'Web Developer'."
15-1254.00,WordPress Developer,"Specialized web developer role heavily advertised on job boards, focusing on WordPress platform development and customization for clients and agencies."
15-1254.00,React Developer,"High-demand job title in actual postings targeting web developers specializing in the React JavaScript framework, reflecting current market emphasis on specific technology stacks."
15-1299.01,Digital Web Coordinator,Commonly posted title that emphasizes the coordination of digital assets and web operations without the 'manager' or 'administrator' hierarchy implied by O*NET titles.
15-1299.01,Web Operations Specialist,"Frequently searched role focusing on the technical operations and maintenance aspects of web infrastructure, distinct from the content and administrative focus of standard Web Administrator titles."
15-1299.01,Website Technician,"Real job posting title that highlights the hands-on technical maintenance and troubleshooting of websites, appealing to candidates seeking technical rather than managerial roles."
15-1299.01,Web Infrastructure Manager,"Job board title that emphasizes management of web servers, hosting, and technical infrastructure—a key responsibility of web administrators that isn't clearly captured in O*NET's sample titles."
15-1253.00,QA Automation Engineer,"Combines QA focus with explicit automation specialization, commonly searched on job boards as a distinct role emphasizing test automation skills over manual testing."
15-1253.00,Test Automation Engineer,"Prioritizes automation expertise in job postings while remaining distinct from the broader 'Software Test Engineer' title, reflecting modern QA roles focused on code-based testing frameworks."
15-1253.00,Quality Assurance Tester,"Merges 'Quality Assurance' with 'Tester' terminology that appears frequently in postings but isn't explicitly listed in O*NET samples, appealing to candidates searching for hands-on testing roles."
15-1253.00,SDET (Software Development Engineer in Test),"Represents a specialized, high-demand variant combining software engineering and testing expertise that is widely searched but absent from O*NET titles, reflecting modern DevOps-influenced QA practices."
15-1252.00,Full Stack Developer,"Commonly searched role combining frontend and backend development work, frequently appearing in job postings but not explicitly listed in O*NET's sample titles despite being a primary way companies advertise software developer positions."
15-1252.00,Backend Developer,"Highly frequent job posting title for developers specializing in server-side and database work, representing a major specialization within software development that isn't captured by O*NET's broader titles."
15-1252.00,Frontend Developer,"Commonly used title for developers focusing on user interfaces and client-side applications, representing another major specialization area that job seekers actively search for but isn't explicitly in O*NET's sample list."
15-1252.00,Mobile Developer,"Frequently posted role for developers specializing in mobile app development (iOS, Android, cross-platform), representing a significant and searchable specialization distinct from general software developer roles."
15-1243.00,Solutions Architect,"Frequently posted role that designs database solutions and system architectures for clients, overlapping with database architects' system design responsibilities but emphasizing client-facing solution delivery."
15-1243.00,Database Administrator,"Commonly searched title that bridges database architects and operations, focusing on database maintenance, optimization, and administration rather than pure design and architecture."
15-1243.00,Cloud Database Architect,"Increasingly common in job postings for architects specializing in cloud-based database systems (AWS, Azure, GCP), reflecting modern market demand not explicitly captured in O*NET titles."
15-1243.00,Data Warehouse Architect,"Specialized architecture role focused specifically on designing data warehouses and analytical database systems, a distinct subdomain within database architecture."
15-1299.08,Enterprise Architect,"Focuses on designing large-scale organizational IT systems and business process alignment, emphasizing strategic enterprise-wide infrastructure planning rather than just technical systems design."
15-1299.08,Cloud Architect,"Specializes in designing and managing cloud-based infrastructure and distributed systems, reflecting the modern shift toward cloud computing that has become central to systems architecture roles."
15-1299.08,Technical Architect,"Broader title emphasizing the translation between business requirements and technical implementation across multiple system components, without the 'IT' or 'Systems' qualifier used in O*NET titles."
15-1299.08,DevOps Architect,"Combines systems architecture with deployment and operational automation, representing the integration of infrastructure design with continuous integration/deployment practices in modern environments."
15-1212.00,Security Engineer,"Commonly used in job postings to describe professionals who design and implement security solutions, emphasizing engineering and architecture work beyond pure analysis."
15-1212.00,Cybersecurity Analyst,"Frequently searched term that broadens the scope to include threat detection and incident response, reflecting modern job market terminology that differs from the traditional 'Information Security' phrasing."
15-1212.00,SOC Analyst,"Widely posted role title for Security Operations Center positions focusing on monitoring, threat hunting, and incident detection, representing a specialized operational path within information security."
15-1212.00,Penetration Tester,"Common job posting title for professionals conducting authorized security testing and vulnerability assessments, emphasizing offensive security skills that map to the analyst's security evaluation responsibilities."
15-2051.00,Machine Learning Engineer,"Focuses on building and deploying ML models in production systems, overlapping with data scientist work but emphasizing engineering infrastructure and scalability over statistical analysis."
15-2051.00,Analytics Engineer,"Bridges data engineering and analytics by building data pipelines and transformations for analysis, representing a more engineering-focused variant of data science work."
15-2051.00,Business Intelligence Analyst,"Uses data analysis and visualization to support business decisions, representing the more applied, business-facing side of data science work rather than research-oriented modeling."
15-2051.00,Data Analyst,"Performs exploratory analysis and reporting on business data, representing a less specialized and more accessible entry point to the data science career path."
15-2051.00,AI/ML Scientist,"Emphasizes artificial intelligence and advanced machine learning research and development, representing the more research-intensive and academic side of data science work."
15-1299.09,Technical Project Manager,"Commonly used in job postings to emphasize technical depth and hands-on experience with technology infrastructure, distinct from the broader 'IT Project Manager' title."
15-1299.09,Agile Project Manager,"Frequently searched job title that emphasizes Agile and Scrum methodologies; while 'Scrum Master' is listed, 'Agile Project Manager' is more commonly used for roles managing full project scope rather than just scrum ceremonies."
15-1299.09,Solutions Delivery Manager,Widely used in IT consulting and implementation contexts to describe professionals managing client-facing technology projects and solution implementations.
15-1299.09,Infrastructure Project Manager,"Commonly posted for roles focused specifically on managing IT infrastructure, networking, and systems projects, more specialized than the general 'IT Project Manager' title."
15-1221.00,Machine Learning Research Scientist,Frequently posted role combining research scientist work with the specialized focus on ML/AI systems development and experimentation that is core to modern computer science research.
15-1221.00,AI Research Engineer,"Common job board title blending research and engineering that emphasizes hands-on implementation of artificial intelligence algorithms and systems, more specific than generic 'research scientist.'"
15-1221.00,Data Scientist - Research,"Widely searched title that applies computer science research methodologies to large-scale data analysis and algorithmic innovation, reflecting the research component of applied data science roles."
15-1221.00,Computational Research Scientist,"Regularly appears in postings to emphasize the computational and algorithmic focus of research work, distinguishing it from purely theoretical or non-computational research roles."
41-2031.00,Brand Ambassador,"Common retail title emphasizing customer engagement and brand representation rather than transactional sales, frequently posted for specialty retail and fashion positions."
41-2031.00,Retail Associate,Widely used alternative to 'Sales Associate' that emphasizes broader store operations and customer service alongside selling duties.
41-2031.00,Floor Associate,Frequently posted in major retail chains to denote salespeople responsible for specific store sections or departments.
41-2031.00,Customer Service Representative,"Often used interchangeably with retail salesperson in job postings, emphasizing assistance and problem-solving over traditional sales roles."
41-3021.00,Insurance Agent,"This is already in O*NET's sample list, so excluding it."
41-3021.00,Health Insurance Agent,"Specializes in health/medical insurance sales, a major segment frequently posted separately from general insurance agent roles."
41-3021.00,Property and Casualty Insurance Agent,"Focuses on P&C insurance sales (auto, home, business), commonly posted as a distinct specialization not explicitly called out in O*NET samples."
41-3021.00,Life Insurance Agent,"Specializes in life and annuity product sales, frequently listed as a separate role in job boards despite mapping to the same O*NET code."
41-3021.00,Insurance Customer Service Representative,"Combines customer service with sales responsibilities in insurance, commonly posted on job boards but blends support with selling duties."
41-4012.00,Territory Manager,"Commonly used in wholesale and manufacturing sales to emphasize geographic responsibility and account management within a defined region, focusing on territory development rather than just individual transactions."
41-4012.00,Business Development Representative,"Frequently searched job title that emphasizes growth and new business acquisition aspects of wholesale sales, distinguishing it from basic order-taking roles."
41-4012.00,Inside Sales Representative,"Common job posting title for wholesale/manufacturing sales conducted via phone and email rather than field visits, contrasting with the O*NET emphasis on 'Outside Sales.'"
41-4012.00,Key Account Manager,"Widely used in manufacturing and wholesale contexts to describe sales roles focused on managing high-value, strategic customer relationships rather than general account management."
41-9022.00,Residential Real Estate Agent,Specializes in residential properties and frequently appears in job postings to distinguish from commercial or industrial real estate sales roles.
41-9022.00,Luxury Real Estate Agent,"Targets high-end property sales and is commonly searched on job boards as a distinct career path with specialized skills, not covered by generic O*NET titles."
41-9022.00,Real Estate Sales Representative,"Commonly used in job postings as an alternative to 'Salesperson' or 'Agent,' emphasizing the sales representation aspect of the role."
41-9022.00,Commercial Real Estate Agent,"Specializes in commercial properties and is frequently searched separately from residential roles, representing a meaningful distinction in job market postings."
41-9021.00,Real Estate Sales Manager,"Commonly used title for brokers who manage sales teams and oversee agent performance, emphasizing management responsibilities beyond the basic broker role."
41-9021.00,Broker Associate/Team Leader,"Frequent hybrid title in job postings for experienced agents who hold broker licensing but lead a team under a managing broker, bridging agent and management roles."
41-9021.00,Independent Real Estate Broker,"Commonly searched and posted title for self-employed brokers who own their brokerage firm, emphasizing independence and business ownership aspects."
41-9021.00,Commercial Real Estate Broker,"Frequently posted specialized title for brokers focusing on commercial properties rather than residential, though O*NET covers both under the general broker classification."
41-9031.00,Solutions Engineer,Commonly used in tech and SaaS job postings to describe sales engineers who design custom technical solutions for clients rather than selling pre-built products.
41-9031.00,Pre-Sales Engineer,"Frequently searched term that emphasizes the technical support role before closing a sale, distinct from post-sales or account management roles listed in O*NET."
41-9031.00,Systems Engineer - Sales,Used in enterprise software and infrastructure roles where sales engineers need deep systems knowledge to architect solutions for enterprise clients.
41-9031.00,Field Sales Engineer,Common in manufacturing and industrial sectors to describe sales engineers who work on-site with clients and in the field rather than primarily from an office.
11-2022.00,Area Sales Manager,"Commonly used in retail and distribution to describe a manager overseeing sales across multiple locations within a geographic area, similar to but more specific than Regional Sales Manager."
11-2022.00,Sales Account Manager,"Frequently searched on job boards for roles managing key client relationships and sales targets, blending account management with sales leadership responsibilities not explicitly named in O*NET titles."
11-2022.00,Inside Sales Manager,"Widely posted for roles supervising phone/remote sales teams, a significant modern variant of sales management that reflects the shift to virtual sales operations."
11-2022.00,Territory Sales Manager,"Commonly used in field sales organizations to describe a manager responsible for sales performance within a defined geographic or customer territory, distinct from broader regional roles."
43-3031.00,Bookkeeper,Widely used in small business job postings for full-cycle bookkeeping work; more informal than Accounting Clerk
43-3031.00,AP/AR Specialist,Accounts payable and receivable combined role title common in mid-market companies
43-3031.00,Staff Accountant,Entry-level title at CPA firms and corporate finance teams performing bookkeeping and reconciliation
13-2082.00,Tax Associate,Common at CPA firms for staff working on individual and business returns below senior level
13-2082.00,Tax Analyst,Used in corporate tax departments for compliance and return preparation work
13-2011.00,Staff Accountant,Standard public accounting title for CPA-track roles performing audit and accounting work
13-2011.00,Senior Accountant,Mid-level title for accountants with 3-5 years experience across audit, tax, or corporate
13-2011.00,Audit Associate,Entry-level public accounting title used at Big Four and regional firms
13-2072.00,Mortgage Loan Originator,Specific licensing-tied title used in residential lending; distinct from commercial loan officer
13-2072.00,Relationship Banker,Consumer banking title for staff who handle lending alongside deposits and account management
13-2041.00,Credit Underwriter,Combines credit analysis and underwriting decision-making; common in commercial lending teams
13-2041.00,Commercial Credit Analyst,Specifies focus on business/commercial lending vs consumer credit
13-2052.00,Wealth Manager,Common in private banking for advisors managing high-net-worth clients
13-2052.00,Retirement Planning Specialist,Niche title for advisors focused on 401k rollovers and retirement income planning
13-2052.00,Wealth Advisor,Variant of Financial Advisor used at larger wirehouses and RIAs
13-2054.00,Market Risk Analyst,Specific to trading desk and investment bank risk roles; more common than Risk Specialist in postings
13-2054.00,Quantitative Risk Analyst,Used for risk roles requiring statistical modeling and coding skills
13-2054.00,Enterprise Risk Manager,Senior title for risk managers overseeing firm-wide risk frameworks
13-2071.00,Financial Coach,Used broadly in nonprofit and fintech contexts for budget and debt coaching roles
13-2071.00,Debt Specialist,Title used at collections agencies and credit counseling nonprofits for client-facing roles
13-2053.00,Commercial Lines Underwriter,Specific to business insurance underwriting; more common in postings than generic Underwriter
13-2053.00,Specialty Lines Underwriter,Used for E&S and complex risk underwriting roles outside standard personal lines
13-2099.04,Anti-Money Laundering Analyst,Common title in banking compliance for transaction monitoring and SAR filing work
13-2099.04,Financial Crimes Analyst,Broader title used at fintechs and banks for fraud and AML investigation roles
13-2099.04,Fraud Investigator,Operational title used in insurance and banking for case investigation work
13-2061.00,Bank Examiner,Standard title used by federal banking regulators (OCC, FDIC, Fed) for field examination staff
13-2061.00,Compliance Examiner,Used at state regulators and CFPB for consumer compliance examination roles
11-3031.00,Controller,Common title for senior financial managers overseeing accounting and reporting functions
11-3031.00,CFO,Chief Financial Officer; top financial management title at companies of all sizes
11-3031.00,VP of Finance,Common corporate title for senior financial managers below CFO level
27-3031.00,PR Manager,"Mid-senior title used in job postings for practitioners who manage a PR program or small team, distinct from the more junior PR Specialist designation."
27-3031.00,Brand Communications Manager,Hybrid title used in tech and consumer companies for PR practitioners who combine earned media with brand messaging responsibilities.
27-3031.00,External Communications Manager,Corporate title common in large organizations for the PR function focused on media relations and public-facing communications.
27-3041.00,Content Editor,"Extremely common in digital publishing and content marketing, covering editing and quality control of web content, blog posts, and branded content."
27-3041.00,Managing Editor,"Widely used for editors who oversee publication workflow, editorial calendars, and team coordination rather than primarily editing copy themselves."
27-3041.00,Copy Editor,"O*NET lists Newspaper Copy Editor but Copy Editor without the qualifier is broadly used across digital, book, and brand publishing."
27-3041.00,Digital Editor,Covers editing roles in online publications and digital media organizations where web-first content editing is the primary responsibility.
11-2011.00,Campaign Manager,"Extremely common in digital advertising for roles managing multi-channel promotional campaigns, broader than Advertising Manager in scope."
11-2011.00,Growth Marketing Manager,"Common in tech/startup environments for practitioners managing paid acquisition, promotions, and conversion optimization."
11-2011.00,Demand Generation Manager,B2B-focused title for roles managing advertising and promotional programs aimed at pipeline and lead generation.
27-1026.00,Visual Merchandising Coordinator,Common posting title for the coordinator-level role that doesn't appear separately in O*NET's sample titles.
27-1026.00,Brand Experience Associate,Used by retail brands for in-store display roles that emphasize customer experience over traditional window dressing.
27-1026.00,Retail Display Stylist,Freelance and contract title used in fashion retail for visual merchandising assignments.
27-1014.00,VFX Artist,"Industry-standard term for visual effects specialists in film and TV, more common than O*NET's 'Special Effects Artist' in job postings."
27-1014.00,Motion Graphics Designer,"Widely used in advertising, broadcast, and digital media for animators working primarily in 2D/After Effects pipelines."
27-1014.00,Character Animator,"Specific title for animators focused on character performance, common in gaming and feature animation studios."
27-1014.00,3D Generalist,"Catch-all title for animators/VFX artists who work across modeling, rigging, and rendering in smaller studios."
27-1021.00,Product Designer,"Dominant job posting title for industrial designers in tech and consumer goods, more common than 'Industrial Designer' on boards like LinkedIn."
27-1021.00,UX/Industrial Designer,Hybrid title used by companies seeking designers who span physical and digital product experience.
27-1021.00,Mechanical Product Designer,Used in manufacturing and engineering firms for designers with strong CAD and DFM (design for manufacturing) skills.
27-1022.00,Apparel Technical Designer,Common posting title for fashion designers focused on technical specs and pattern grading rather than concept work.
27-1022.00,Textile Designer,"Used for designers focusing on fabric patterns and material design, a common specialization within fashion that O*NET covers separately."
27-1022.00,Costume Designer,"Specific title in film, TV, and theater for fashion designers, not fully covered by O*NET's sample titles."
27-1013.00,Concept Artist,Common in gaming and film industries for fine artists who create character and environment concepts in pre-production.
27-1013.00,Illustrator,"Broad commercial title for fine artists working in editorial, publishing, and brand illustration, searched far more than 'Fine Artist' on job boards."
27-1013.00,Mural Artist,Growing title for fine artists focused on large-scale public and commercial wall art commissions.
27-1025.00,Space Planner,Common in corporate real estate and facilities for interior designers focused on workspace layout and occupancy planning.
27-1025.00,Residential Interior Designer,Sector-specific posting title that distinguishes residential from commercial practice.
27-1025.00,FF&E Designer,"Furniture, fixtures, and equipment designer title common in hospitality and commercial interiors."
27-1027.00,Environmental Graphic Designer,"Emerging title for designers who blend wayfinding, spatial branding, and exhibit design in corporate and museum environments."
27-1027.00,Experience Designer,"Used for exhibit and spatial designers in museums, theme parks, and retail where the emphasis is on visitor experience."
27-1027.00,Art Department Coordinator,"Film and TV title for set designers managing props, sets, and environment production under the production designer."
27-1011.00,Head of Design,"Common in tech companies and startups for the senior-most design leadership role, overlapping with Art Director in smaller organizations."
27-1011.00,Visual Director,Used in fashion and retail brands for the role that owns visual brand standards across channels.
27-1011.00,Brand Creative Director,"Common in marketing-heavy companies where art direction spans brand identity, campaigns, and content."
13-2031.00,FP&A Analyst,"Finance & Planning Analyst is the dominant job board title for budget/forecasting work in corporate settings, distinct from the O*NET 'Budget Analyst' label."
13-2031.00,Financial Planning Analyst,"Common corporate title for roles that build annual budgets, forecasts, and variance reports — broader scope than 'Budget Coordinator'."
13-2031.00,Fiscal Analyst,Used widely in government and public-sector job postings for the same budget review and appropriations work covered by this occupation.
13-1111.00,Strategy Analyst,Frequently posted by consulting firms and in-house strategy teams for roles that assess operations and recommend improvements — closely mirrors management analyst work.
13-1111.00,Operations Analyst,"Common title in tech and enterprise companies for analyzing workflows and driving process efficiency, the core of this occupation."
13-1111.00,Process Improvement Analyst,"Appears frequently in manufacturing, healthcare, and logistics job postings for Lean/Six Sigma-oriented work that O*NET lists under management analysts."
13-2051.00,Quantitative Analyst,High-frequency job board title (often 'Quant Analyst') for model-driven investment research roles not covered by the O*NET sample title list.
13-2051.00,Fixed Income Analyst,"Specific bond/debt market title that appears heavily in banking and asset management postings, distinct from the generic 'Securities Analyst'."
13-2051.00,Valuation Analyst,Common in investment banking and private equity for DCF and comparable-company analysis work that maps directly to this occupation's core tasks.
13-1041.00,Compliance Analyst,The most-searched job board title for entry/mid-level compliance work — O*NET's sample titles skew toward DMV licensing examiners and miss this corporate usage.
13-1041.00,Regulatory Affairs Specialist,"Standard title in pharma, finance, and tech for professionals who interpret and enforce regulations, central to the compliance officer role."
13-1041.00,AML Analyst,Anti-Money Laundering Analyst is a high-volume posting in banking/fintech for the transaction monitoring and regulatory reporting tasks this occupation covers.
41-3011.00,Media Sales Representative,Common title in digital and broadcast media sales postings; drops 'Advertising' from O*NET title.
41-3011.00,Digital Advertising Sales Executive,"Used by digital publishers, ad tech firms, and programmatic platforms."
41-3011.00,Ad Revenue Manager,Appears in publisher postings focused on growing existing ad revenue rather than pure new business.
